micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,generation_status,naming_note
G05-N-FACTOR-01-P1,G05-N-FACTOR-01,N-5-3,因數與倍數,因數與公因數,整除與因數,標準程序,由整除關係判斷並列出因數；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-FACTOR-01-R1,G05-N-FACTOR-01,N-5-3,因數與倍數,因數與公因數,整除與因數,逆向求未知,由整除關係判斷並列出因數；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-FACTOR-01-A1,G05-N-FACTOR-01,N-5-3,因數與倍數,因數與公因數,整除與因數,情境應用,由整除關係判斷並列出因數；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-FACTOR-01-V1,G05-N-FACTOR-01,N-5-3,因數與倍數,因數與公因數,整除與因數,表徵轉換,由整除關係判斷並列出因數；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-GCF-01-C1,G05-N-GCF-01,N-5-3,因數與倍數,因數與公因數,公因數與最大公因數,概念辨識,比較兩數因數集合並找最大公因數；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-GCF-01-P1,G05-N-GCF-01,N-5-3,因數與倍數,因數與公因數,公因數與最大公因數,標準程序,比較兩數因數集合並找最大公因數；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-GCF-01-R1,G05-N-GCF-01,N-5-3,因數與倍數,因數與公因數,公因數與最大公因數,逆向求未知,比較兩數因數集合並找最大公因數；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-GCF-01-A1,G05-N-GCF-01,N-5-3,因數與倍數,因數與公因數,公因數與最大公因數,情境應用,比較兩數因數集合並找最大公因數；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-GCF-01-V1,G05-N-GCF-01,N-5-3,因數與倍數,因數與公因數,公因數與最大公因數,表徵轉換,比較兩數因數集合並找最大公因數；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-GCF-01-T1,G05-N-GCF-01,N-5-3,因數與倍數,因數與公因數,公因數與最大公因數,變形進階,比較兩數因數集合並找最大公因數；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G05-N-GCF-01-X1,G05-N-GCF-01,N-5-3,因數與倍數,因數與公因數,公因數與最大公因數,跨單元整合,比較兩數因數集合並找最大公因數；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G05-N-MULTIPLE-01-C1,G05-N-MULTIPLE-01,N-5-3,因數與倍數,倍數與公倍數,倍數與判別,概念辨識,列倍數並使用2、5、10倍數特徵；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-MULTIPLE-01-P1,G05-N-MULTIPLE-01,N-5-3,因數與倍數,倍數與公倍數,倍數與判別,標準程序,列倍數並使用2、5、10倍數特徵；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-MULTIPLE-01-R1,G05-N-MULTIPLE-01,N-5-3,因數與倍數,倍數與公倍數,倍數與判別,逆向求未知,列倍數並使用2、5、10倍數特徵；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-MULTIPLE-01-A1,G05-N-MULTIPLE-01,N-5-3,因數與倍數,倍數與公倍數,倍數與判別,情境應用,列倍數並使用2、5、10倍數特徵；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-MULTIPLE-01-V1,G05-N-MULTIPLE-01,N-5-3,因數與倍數,倍數與公倍數,倍數與判別,表徵轉換,列倍數並使用2、5、10倍數特徵；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-LCM-01-C1,G05-N-LCM-01,N-5-3,因數與倍數,倍數與公倍數,公倍數與最小公倍數,概念辨識,找共同倍數與最小公倍數並解週期問題；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-LCM-01-P1,G05-N-LCM-01,N-5-3,因數與倍數,倍數與公倍數,公倍數與最小公倍數,標準程序,找共同倍數與最小公倍數並解週期問題；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-LCM-01-R1,G05-N-LCM-01,N-5-3,因數與倍數,倍數與公倍數,公倍數與最小公倍數,逆向求未知,找共同倍數與最小公倍數並解週期問題；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-LCM-01-A1,G05-N-LCM-01,N-5-3,因數與倍數,倍數與公倍數,公倍數與最小公倍數,情境應用,找共同倍數與最小公倍數並解週期問題；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-LCM-01-V1,G05-N-LCM-01,N-5-3,因數與倍數,倍數與公倍數,公倍數與最小公倍數,表徵轉換,找共同倍數與最小公倍數並解週期問題；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-LCM-01-T1,G05-N-LCM-01,N-5-3,因數與倍數,倍數與公倍數,公倍數與最小公倍數,變形進階,找共同倍數與最小公倍數並解週期問題；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G05-N-LCM-01-X1,G05-N-LCM-01,N-5-3,因數與倍數,倍數與公倍數,公倍數與最小公倍數,跨單元整合,找共同倍數與最小公倍數並解週期問題；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G05-N-FRAC-EQV-01-C1,G05-N-FRAC-EQV-01,N-5-4,分數,等值分數,擴分與約分,概念辨識,分子分母同乘或同除保持分數值不變；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-FRAC-EQV-01-P1,G05-N-FRAC-EQV-01,N-5-4,分數,等值分數,擴分與約分,標準程序,分子分母同乘或同除保持分數值不變；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-FRAC-EQV-01-R1,G05-N-FRAC-EQV-01,N-5-4,分數,等值分數,擴分與約分,逆向求未知,分子分母同乘或同除保持分數值不變；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-EQV-01-A1,G05-N-FRAC-EQV-01,N-5-4,分數,等值分數,擴分與約分,情境應用,分子分母同乘或同除保持分數值不變；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-EQV-01-V1,G05-N-FRAC-EQV-01,N-5-4,分數,等值分數,擴分與約分,表徵轉換,分子分母同乘或同除保持分數值不變；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-COMMON-01-C1,G05-N-FRAC-COMMON-01,N-5-4,分數,等值分數,通分與大小比較,概念辨識,以共同分母比較異分母分數；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-FRAC-COMMON-01-P1,G05-N-FRAC-COMMON-01,N-5-4,分數,等值分數,通分與大小比較,標準程序,以共同分母比較異分母分數；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-FRAC-COMMON-01-R1,G05-N-FRAC-COMMON-01,N-5-4,分數,等值分數,通分與大小比較,逆向求未知,以共同分母比較異分母分數；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-COMMON-01-A1,G05-N-FRAC-COMMON-01,N-5-4,分數,等值分數,通分與大小比較,情境應用,以共同分母比較異分母分數；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-COMMON-01-V1,G05-N-FRAC-COMMON-01,N-5-4,分數,等值分數,通分與大小比較,表徵轉換,以共同分母比較異分母分數；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-COMMON-01-T1,G05-N-FRAC-COMMON-01,N-5-4,分數,等值分數,通分與大小比較,變形進階,以共同分母比較異分母分數；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G05-N-FRAC-COMMON-01-X1,G05-N-FRAC-COMMON-01,N-5-4,分數,等值分數,通分與大小比較,跨單元整合,以共同分母比較異分母分數；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G05-N-FRAC-ADD-01-C1,G05-N-FRAC-ADD-01,N-5-4,分數,異分母分數加減,異分母分數加法,概念辨識,先通分再相加並處理帶分數；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-FRAC-ADD-01-P1,G05-N-FRAC-ADD-01,N-5-4,分數,異分母分數加減,異分母分數加法,標準程序,先通分再相加並處理帶分數；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-FRAC-ADD-01-R1,G05-N-FRAC-ADD-01,N-5-4,分數,異分母分數加減,異分母分數加法,逆向求未知,先通分再相加並處理帶分數；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-ADD-01-A1,G05-N-FRAC-ADD-01,N-5-4,分數,異分母分數加減,異分母分數加法,情境應用,先通分再相加並處理帶分數；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-ADD-01-V1,G05-N-FRAC-ADD-01,N-5-4,分數,異分母分數加減,異分母分數加法,表徵轉換,先通分再相加並處理帶分數；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-ADD-01-T1,G05-N-FRAC-ADD-01,N-5-4,分數,異分母分數加減,異分母分數加法,變形進階,先通分再相加並處理帶分數；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G05-N-FRAC-ADD-01-X1,G05-N-FRAC-ADD-01,N-5-4,分數,異分母分數加減,異分母分數加法,跨單元整合,先通分再相加並處理帶分數；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G05-N-FRAC-SUB-01-C1,G05-N-FRAC-SUB-01,N-5-4,分數,異分母分數加減,異分母分數減法,概念辨識,先通分再相減，含借位與帶分數；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-FRAC-SUB-01-P1,G05-N-FRAC-SUB-01,N-5-4,分數,異分母分數加減,異分母分數減法,標準程序,先通分再相減，含借位與帶分數；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-FRAC-SUB-01-R1,G05-N-FRAC-SUB-01,N-5-4,分數,異分母分數加減,異分母分數減法,逆向求未知,先通分再相減，含借位與帶分數；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-SUB-01-A1,G05-N-FRAC-SUB-01,N-5-4,分數,異分母分數加減,異分母分數減法,情境應用,先通分再相減，含借位與帶分數；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-SUB-01-V1,G05-N-FRAC-SUB-01,N-5-4,分數,異分母分數加減,異分母分數減法,表徵轉換,先通分再相減，含借位與帶分數；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-SUB-01-T1,G05-N-FRAC-SUB-01,N-5-4,分數,異分母分數加減,異分母分數減法,變形進階,先通分再相減，含借位與帶分數；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G05-N-FRAC-SUB-01-X1,G05-N-FRAC-SUB-01,N-5-4,分數,異分母分數加減,異分母分數減法,跨單元整合,先通分再相減，含借位與帶分數；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G05-N-FRAC-DIVREP-01-C1,G05-N-FRAC-DIVREP-01,N-5-6,分數,分數與除法,整數相除分數表示,概念辨識,理解 a÷b=a/b 與分配情境；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-FRAC-DIVREP-01-P1,G05-N-FRAC-DIVREP-01,N-5-6,分數,分數與除法,整數相除分數表示,標準程序,理解 a÷b=a/b 與分配情境；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-FRAC-DIVREP-01-R1,G05-N-FRAC-DIVREP-01,N-5-6,分數,分數與除法,整數相除分數表示,逆向求未知,理解 a÷b=a/b 與分配情境；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-DIVREP-01-A1,G05-N-FRAC-DIVREP-01,N-5-6,分數,分數與除法,整數相除分數表示,情境應用,理解 a÷b=a/b 與分配情境；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-DIVREP-01-V1,G05-N-FRAC-DIVREP-01,N-5-6,分數,分數與除法,整數相除分數表示,表徵轉換,理解 a÷b=a/b 與分配情境；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-01-C1,G05-N-FRAC-MUL-01,N-5-5,分數,分數乘法,整數乘分數,概念辨識,理解某數的幾分之幾並計算；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-01-P1,G05-N-FRAC-MUL-01,N-5-5,分數,分數乘法,整數乘分數,標準程序,理解某數的幾分之幾並計算；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-01-R1,G05-N-FRAC-MUL-01,N-5-5,分數,分數乘法,整數乘分數,逆向求未知,理解某數的幾分之幾並計算；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-01-A1,G05-N-FRAC-MUL-01,N-5-5,分數,分數乘法,整數乘分數,情境應用,理解某數的幾分之幾並計算；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-01-V1,G05-N-FRAC-MUL-01,N-5-5,分數,分數乘法,整數乘分數,表徵轉換,理解某數的幾分之幾並計算；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-01-T1,G05-N-FRAC-MUL-01,N-5-5,分數,分數乘法,整數乘分數,變形進階,理解某數的幾分之幾並計算；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-01-X1,G05-N-FRAC-MUL-01,N-5-5,分數,分數乘法,整數乘分數,跨單元整合,理解某數的幾分之幾並計算；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-02-C1,G05-N-FRAC-MUL-02,N-5-5,分數,分數乘法,分數乘分數,概念辨識,理解分數倍與乘積大小關係；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-02-P1,G05-N-FRAC-MUL-02,N-5-5,分數,分數乘法,分數乘分數,標準程序,理解分數倍與乘積大小關係；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-02-R1,G05-N-FRAC-MUL-02,N-5-5,分數,分數乘法,分數乘分數,逆向求未知,理解分數倍與乘積大小關係；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-02-A1,G05-N-FRAC-MUL-02,N-5-5,分數,分數乘法,分數乘分數,情境應用,理解分數倍與乘積大小關係；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-02-V1,G05-N-FRAC-MUL-02,N-5-5,分數,分數乘法,分數乘分數,表徵轉換,理解分數倍與乘積大小關係；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-FRAC-MUL-02-T1,G05-N-FRAC-MUL-02,N-5-5,分數,分數乘法,分數乘分數,變形進階,理解分數倍與乘積大小關係；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
