publisher,semester,unit_no,unit_title,sub_no,subunit_title,source_url,structure_status,school_year_status
康軒,八下,1,數列與級數,1-3,等比數列,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八下,2,函數,2-1,函數與函數圖形,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八下,3,三角形的基本性質,3-1,三角形與多邊形的內角與外角,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八下,3,三角形的基本性質,3-2,尺規作圖,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八下,3,三角形的基本性質,3-3,三角形的全等性質,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八下,4,平行與四邊形,4-1,平行,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八下,4,平行與四邊形,4-2,平行四邊形,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八下,4,平行與四邊形,4-3,特殊四邊形的性質,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
翰林,八上,1,乘法公式與多項式,1-1,乘法公式,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,1,乘法公式與多項式,1-2,多項式的加減,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,1,乘法公式與多項式,1-3,多項式的乘除,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,2,平方根與畢氏定理,2-1,平方根的意義,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,2,平方根與畢氏定理,2-2,根式的運算,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,2,平方根與畢氏定理,2-3,畢氏定理,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,3,因式分解,3-1,提公因式與乘法公式作因式分解,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,3,因式分解,3-2,利用十字交乘法因式分解,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,4,一元二次方程式,4-1,因式分解法解一元二次方程式,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,4,一元二次方程式,4-2,配方法與公式解,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,4,一元二次方程式,4-3,應用問題,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八上,5,統計資料處理,5-1,統計資料處理,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八下,1,數列與級數,1-1,認識數列與等差數列,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八下,1,數列與級數,1-2,等差級數,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八下,1,數列與級數,1-3,等比數列,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八下,2,線型函數與其圖形,2-1,線型函數與其圖形,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八下,3,三角形的基本性質,3-1,內角與外角,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八下,3,三角形的基本性質,3-2,基本的尺規作圖,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八下,3,三角形的基本性質,3-3,三角形的全等性質,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八下,4,平行與四邊形,4-1,平行線與截角性質,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八下,4,平行與四邊形,4-2,平行四邊形,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
翰林,八下,4,平行與四邊形,4-3,特殊四邊形,https://www.junyiacademy.org/topics/h-m8a,publisher_structure_verified,113_verified
南一,八上,1,乘法公式與多項式,1-1,乘法公式,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,1,乘法公式與多項式,1-2,多項式的加法與減法,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,1,乘法公式與多項式,1-3,多項式的乘法與除法,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,2,平方根與畢氏定理,2-1,平方根與近似值,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,2,平方根與畢氏定理,2-2,根式的運算,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,2,平方根與畢氏定理,2-3,畢氏定理,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,3,因式分解,3-1,提公因式法與乘法公式因式分解,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,3,因式分解,3-2,利用十字交乘法因式分解,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,4,一元二次方程式,4-1,因式分解法解一元二次方程式,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,4,一元二次方程式,4-2,配方法與一元二次方程式的公式解,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,4,一元二次方程式,4-3,一元二次方程式的應用,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八上,5,統計資料處理與圖表,5-1,相對與累積次數分配圖表,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八下,1,數列與等差級數,1-1,等差數列,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八下,1,數列與等差級數,1-2,等差級數,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八下,1,數列與等差級數,1-3,等比數列,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八下,2,函數及其圖形,2-1,一次函數,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八下,3,三角形的性質與尺規作圖,3-1,內角與外角,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八下,3,三角形的性質與尺規作圖,3-2,基本尺規作圖,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八下,3,三角形的性質與尺規作圖,3-3,三角形全等,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八下,4,平行與四邊形,4-1,平行線,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八下,4,平行與四邊形,4-2,平行四邊形,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
南一,八下,4,平行與四邊形,4-3,特殊的四邊形,https://www.junyiacademy.org/topics/n-m8a,publisher_structure_verified,113_verified
