skill_id,prerequisites,graph_status,missing_refs
G08-A-FACTOR-DIFFSQ-01,G08-A-MULFORM-03;G08-A-FACTOR-MEAN-01,ready,
G08-A-FACTOR-CROSS1-01,G08-A-FACTOR-MEAN-01;G07-N-MULINT-01,ready,
G08-A-FACTOR-CROSS2-01,G08-A-FACTOR-CROSS1-01,ready,
G08-A-FACTOR-CHOICE-01,G08-A-FACTOR-GCF-01;G08-A-FACTOR-SQ1-01;G08-A-FACTOR-DIFFSQ-01;G08-A-FACTOR-CROSS2-01,ready,
G08-A-FACTOR-CHECK-01,,ready,
G08-A-QUAD-MEAN-01,G07-A-LINEQ-MEAN-01;G08-A-POLY-DEG-01;G07-A-SOLVE-01,ready,
G08-A-QUAD-FORM-01,G07-A-EQAPP-01;G08-A-QUAD-MEAN-01,ready,
G08-A-QUAD-FACT-01,G08-A-FACTOR-CHOICE-01;G08-A-QUAD-MEAN-01,ready,
G08-A-QUAD-SQRT-01,G08-N-SQRT-MEAN-01;G08-A-QUAD-MEAN-01,ready,
G08-A-QUAD-COMPLETE-01,G08-A-MULFORM-01;G08-A-QUAD-SQRT-01,ready,
G08-A-QUAD-FORMULA-01,G08-A-QUAD-COMPLETE-01;G08-N-RAD-SIMPLIFY-01,ready,
G08-A-QUAD-ROOTTYPE-01,,ready,
G08-A-QUAD-CHECK-01,G08-A-QUAD-MEAN-01;G07-A-SUBSTITUTE-01,ready,
G08-A-QUAD-APP-01,G08-A-QUAD-FORM-01;G08-A-QUAD-FACT-01,ready,
G08-A-QUAD-APPROX-01,,ready,
G08-D-RELATIVE-01,G07-D-CHART-01;G07-N-RATIO-01,ready,
G08-D-CUMFREQ-01,G07-D-HIST-01,ready,
G08-D-CUMREL-01,G08-D-CUMFREQ-01;G08-D-RELATIVE-01,ready,
G08-D-OGIVE-01,G08-D-CUMREL-01,ready,
G08-D-DIST-APP-01,,ready,
G08-N-SEQ-MEAN-01,G07-N-POWER-01;G07-A-EXPR-APP-01,ready,
G08-N-SEQ-PATTERN-01,G08-N-SEQ-MEAN-01;G07-A-EXPR-APP-01,ready,
G08-N-ARITH-MEAN-01,G08-N-SEQ-MEAN-01,ready,
G08-N-ARITH-TERM-01,G08-N-ARITH-MEAN-01;G07-A-SYMBOL-01,ready,
G08-N-ARITH-REVERSE-01,,ready,
G08-N-ARITH-MID-01,G08-N-ARITH-MEAN-01,ready,
G08-N-ARITH-SUM-01,G08-N-ARITH-TERM-01;G07-N-MULINT-01,ready,
G08-N-ARITH-SUMAPP-01,,ready,
G08-N-GEO-MEAN-01,G08-N-SEQ-MEAN-01;G07-N-POWER-01,ready,
G08-N-GEO-TERM-01,G08-N-GEO-MEAN-01;G07-N-POWER-01,ready,
G08-N-GEO-MID-01,,ready,
G08-F-FUNC-MEAN-01,G07-A-LINEGRAPH-01;G07-A-EXPR-APP-01,ready,
G08-F-CONST-01,G08-F-FUNC-MEAN-01;G07-A-HVLINE-01,ready,
G08-F-LINEAR-01,G08-F-FUNC-MEAN-01;G07-A-LINEGRAPH-01,ready,
G08-F-TABLE-01,G08-F-LINEAR-01,ready,
G08-F-GRAPH-01,G08-F-LINEAR-01;G07-G-PLOT-01,ready,
G08-F-CONSTGRAPH-01,G08-F-CONST-01;G07-A-HVLINE-01,ready,
G08-F-GRAPH-READ-01,G08-F-GRAPH-01,ready,
G08-F-MODEL-01,G08-F-LINEAR-01;G07-N-DIRECT-01,ready,
G08-S-ANGLE-REL-01,G07-S-NOTATION-01;G04-S-ANGLECALC-01,ready,
G08-S-TRANSVERSAL-01,G08-S-ANGLE-REL-01;G07-S-PERP-01,ready,
G08-S-POLY-INNER-01,G04-S-TRI-ANGLE-01;G08-S-ANGLE-REL-01,ready,
G08-S-REGPOLY-01,,ready,
G08-S-PARALLEL-01,G08-S-TRANSVERSAL-01;G07-S-PERP-01,ready,
G08-S-PARALLEL-REV-01,G08-S-PARALLEL-01,ready,
G08-S-CONGRUENT-01,G04-S-CONGRUENT-01;G04-S-CONGRUENT-MAP-01,ready,
G08-S-TRI-SSS-01,G08-S-CONGRUENT-01;G04-S-TRI-CLASS-01;G07-S-NOTATION-01,ready,
G08-S-TRI-SAS-01,G08-S-CONGRUENT-01;G04-S-MEASURE-01,ready,
G08-S-TRI-ASA-01,G08-S-TRI-SAS-01;G08-S-ANGLE-REL-01,ready,
G08-S-TRI-RHS-01,G08-S-TRI-SSS-01;G08-S-PYTH-01,ready,
G08-S-CONG-PROOF-01,G08-S-TRI-SSS-01;G08-S-TRI-SAS-01;G08-S-TRI-ASA-01,ready,
G08-S-EQUIL-H-01,G08-S-PYTH-01;G04-S-TRI-CLASS-01,ready,
G08-S-EQUIL-A-01,G08-S-EQUIL-H-01;G05-S-AREA-TRI-01,ready,
G08-S-COMPOSITE-AREA-01,,ready,
G08-S-ISO-01,G04-S-TRI-CLASS-01;G08-S-ANGLE-REL-01,ready,
G08-S-BIGANGLE-01,G08-S-ISO-01,ready,
G08-S-TRI-INEQ-01,G05-S-POLY-01;G08-S-BIGANGLE-01,ready,
G08-S-EXTERIOR-01,G08-S-ANGLE-REL-01;G04-S-TRI-ANGLE-01,ready,
G08-S-PARA-PROP-01,G04-S-QUAD-01;G08-S-PARALLEL-01,ready,
G08-S-PARA-TEST-01,G08-S-PARA-PROP-01;G08-S-CONG-PROOF-01,ready,
G08-S-RECT-PROP-01,G04-S-QUAD-REL-01;G08-S-PARA-PROP-01,ready,
G08-S-RHOM-PROP-01,G04-S-QUAD-REL-01;G08-S-PARA-PROP-01,ready,
G08-S-KITE-PROP-01,G04-S-QUAD-REL-01;G07-S-SYM-FIG-01,ready,
G08-S-TRAP-ISO-01,G04-S-QUAD-01;G07-S-SYM-FIG-01,ready,
G08-S-TRAP-MID-01,G08-S-TRAP-ISO-01;G08-S-PARALLEL-01,ready,
G08-S-COMPASS-COPY-01,G07-S-NOTATION-01;G04-S-MEASURE-01,ready,
G08-S-COMPASS-BISECT-01,G08-S-COMPASS-COPY-01;G07-S-SYM-PROP-01,ready,
G08-S-COMPASS-PERP-01,G08-S-COMPASS-BISECT-01;G07-S-PERP-01,ready,
G08-S-PROOF-BASIC-01,G08-S-CONG-PROOF-01;G08-S-PARALLEL-01,ready,
