pack,track,grade,skill_id,official_code,main_unit,subunit,skill_name,difficulty
G2,PREHIGH,G2,G02-N-MUL-4-8-01,N-2-6,乘法,乘法表,4和8的乘法,2
G2,PREHIGH,G2,G02-N-MUL-3-6-01,N-2-6,乘法,乘法表,3和6的乘法,2
G2,PREHIGH,G2,G02-N-MUL-7-9-01,N-2-6,乘法,乘法表,7和9的乘法,3
G2,PREHIGH,G2,G02-N-MUL-0-1-10-01,N-2-6 / N-2-7,乘法,乘法表,0、1、10的乘法,2
G2,PREHIGH,G2,G02-N-MUL-TABLE-01,N-2-7,乘法,九九乘法,1到10乘法熟練,3
G2,PREHIGH,G2,G02-R-MULCOMM-01,R-2-3,乘法,乘法關係,交換乘數與被乘數,3
G2,PREHIGH,G2,G02-N-MULADD-01,N-2-8,兩步驟,乘加,先乘後加,3
G2,PREHIGH,G2,G02-N-MULSUB-01,N-2-8,兩步驟,乘減,先乘後減,3
G2,PREHIGH,G2,G02-N-SHARE-01,N-2-9,除法前置,平分,平均分,2
G2,PREHIGH,G2,G02-N-GROUP-01,N-2-9,除法前置,分裝,每份固定量,2
G2,PREHIGH,G2,G02-N-SHARE-REL-01,N-2-9 / N-2-6,除法前置,乘除關係前置,用乘法檢查分裝平分,3
G2,PREHIGH,G2,G02-N-FRAC-UNIT-01,N-2-10,分數,單位分數,二分之一與四分之一,2
G2,PREHIGH,G2,G02-N-FRAC-UNIT-02,N-2-10,分數,單位分數,幾分之一,2
G2,PREHIGH,G2,G02-N-FRAC-CMP-01,N-2-10,分數,單位分數,單位分數大小初步,3
G2,PREHIGH,G2,G02-N-CM-01,N-2-11 / S-2-3,長度,公分,認識1公分,2
G2,PREHIGH,G2,G02-N-METER-01,N-2-11,長度,公尺,認識1公尺,2
G2,PREHIGH,G2,G02-N-RULER-01,N-2-11 / S-2-3,長度,測量,用尺測量與畫線,2
G2,PREHIGH,G2,G02-N-LENOPS-01,N-2-11,長度,長度加減,同單位長度運算,3
G2,PREHIGH,G2,G02-S-PERIM-01,S-2-4,幾何,周界與周長,圖形邊長總和,3
G2,PREHIGH,G2,G02-N-CAP-01,N-2-12,量,容量,直接/間接比較容量,2
G2,PREHIGH,G2,G02-N-WEIGHT-01,N-2-12,量,重量,直接/間接比較重量,2
G2,PREHIGH,G2,G02-S-AREA-01,N-2-12 / S-2-5,量與幾何,面積,面的直接比較,2
G2,PREHIGH,G2,G02-S-AREA-02,N-2-12 / S-2-5,量與幾何,面積,間接與個別單位比較,3
G2,PREHIGH,G2,G02-N-CLOCK-01,N-2-13,時間,鐘面,幾時幾分,2
G2,PREHIGH,G2,G02-N-CLOCK-02,N-2-13,時間,鐘面,前後時刻比較,2
G2,PREHIGH,G2,G02-N-CALENDAR-01,N-2-14,時間,日曆,年、月、日、星期,2
G2,PREHIGH,G2,G02-N-CALENDAR-02,N-2-14,時間,日曆,月份天數與順序,2
G2,PREHIGH,G2,G02-S-FEATURE-01,S-2-1 / S-2-2,幾何,平面圖形,邊角頂點,2
G2,PREHIGH,G2,G02-S-TRIQUAD-01,S-2-2,幾何,平面圖形,三角形與四邊形,2
G2,PREHIGH,G2,G02-S-SPECIAL-01,S-2-2,幾何,特殊圖形,正方形長方形正三角形,3
G2,PREHIGH,G2,G02-S-INOUT-01,S-2-4,幾何,平面圖形,周界內部外部,2
G2,PREHIGH,G2,G02-S-SOLID-01,S-2-2,幾何,立體形體,常見立體分類,2
G2,PREHIGH,G2,G02-R-TRANSITIVE-01,R-2-1,關係,比較關係,大小遞移,3
G2,PREHIGH,G2,G02-D-TABLE-01,D-2-1,資料,分類與呈現,分類紀錄,2
G2,PREHIGH,G2,G02-D-READ-01,D-2-1,資料,分類與呈現,報讀分類結果,2
G3,PREHIGH,G3,G03-N-10000-01,N-3-1,數概念,10000以內的數,萬以內讀寫做,2
G3,PREHIGH,G3,G03-N-PLACE-01,N-3-1,數概念,位值,千百十個位值,2
G3,PREHIGH,G3,G03-N-ORDER-01,N-3-1,數概念,數序與比較,萬以內排序比較,2
G3,PREHIGH,G3,G03-N-MONEY-01,N-3-1,數概念,錢幣表徵,大數與錢幣換算,2
G3,PREHIGH,G3,G03-N-NUMAPP-01,N-3-1,數概念,大數應用,萬以內生活量,3
G3,PREHIGH,G3,G03-N-ADD4-01,N-3-2,加減運算,四位數加法,直式與進位,3
G3,PREHIGH,G3,G03-N-SUB4-01,N-3-2,加減運算,四位數減法,直式與退位,3
G3,PREHIGH,G3,G03-N-ADDSUB-APP-01,N-3-2,加減運算,四位數應用,加減文字題,3
G3,PREHIGH,G3,G03-N-ADDSUB-UNK-01,N-3-2,加減運算,未知量,四位數加減缺項,4
G3,PREHIGH,G3,G03-N-MUL2X1-01,N-3-3,乘法,多位數乘一位數,二位數乘一位數,2
G3,PREHIGH,G3,G03-N-MUL3X1-01,N-3-3,乘法,多位數乘一位數,三位數乘一位數,3
G3,PREHIGH,G3,G03-N-MUL-EST-01,N-3-3 / N-3-8,乘法,乘法估算,估算乘積,3
G3,PREHIGH,G3,G03-N-MUL-APP-01,N-3-6,乘法,乘法應用,倍數與總量,3
G3,PREHIGH,G3,G03-N-DIV-MEAN-01,N-3-4,除法,除法概念,分裝與平分,2
G3,PREHIGH,G3,G03-N-DIV-REM-01,N-3-4,除法,除法概念,有餘數除法,3
G3,PREHIGH,G3,G03-N-DIV2X1-01,N-3-5,除法,直式除法,二位數除一位數,3
G3,PREHIGH,G3,G03-N-DIV3X1-01,N-3-5,除法,直式除法,三位數除一位數,4
G3,PREHIGH,G3,G03-N-DIV-ZERO-01,N-3-5,除法,特殊除法,商中含0,4
G3,PREHIGH,G3,G03-R-MULDIV-INV-01,R-3-1,乘除關係,互逆與驗算,乘除互逆,3
G3,PREHIGH,G3,G03-N-DIV-APP-01,N-3-6,除法,除法應用,每份量與份數,3
G3,PREHIGH,G3,G03-N-2STEP-01,N-3-7,兩步驟,加減乘混合,先乘再加減,4
G3,PREHIGH,G3,G03-N-2STEP-02,N-3-7,兩步驟,加減除混合,先除再加減,4
G3,PREHIGH,G3,G03-N-2STEP-03,N-3-7,兩步驟,乘除混合,倍數與分組兩步驟,4
G3,PREHIGH,G3,G03-N-EST-4OPS-01,N-3-8,估算,四則估算,合理估算策略,3
G3,PREHIGH,G3,G03-N-FRAC-BASIC-01,N-3-9,分數,分數概念,幾分之幾,2
G3,PREHIGH,G3,G03-N-FRAC-ONE-01,N-3-9,分數,分數與1,分子等於分母,2
G3,PREHIGH,G3,G03-N-FRAC-CMP-01,N-3-9,分數,同分母分數,同分母大小比較,2
G3,PREHIGH,G3,G03-N-FRAC-ADD-01,N-3-9,分數,同分母加減,同分母分數加法,3
G3,PREHIGH,G3,G03-N-FRAC-SUB-01,N-3-9,分數,同分母加減,同分母分數減法,3
G3,PREHIGH,G3,G03-N-FRAC-NUMBERLINE-01,N-3-9 / N-3-11,分數,數線,分數在數線上的位置,3
G3,PREHIGH,G3,G03-N-DEC-01,N-3-10,小數,一位小數,0.1與十分位,2
G3,PREHIGH,G3,G03-N-DEC-PLACE-01,N-3-10,小數,一位小數,十分位位值,2
G3,PREHIGH,G3,G03-N-DEC-CMP-01,N-3-10,小數,一位小數,大小比較,2
G3,PREHIGH,G3,G03-N-DEC-ADD-01,N-3-10,小數,一位小數,小數加法,3
G3,PREHIGH,G3,G03-N-DEC-SUB-01,N-3-10,小數,一位小數,小數減法,3
G3,PREHIGH,G3,G03-N-DEC-NUMBERLINE-01,N-3-10 / N-3-11,小數,數線,一位小數數線,3
G3,PREHIGH,G3,G03-N-NUMBERLINE-01,N-3-11,數線,整數數線,定位與大小,2
G3,PREHIGH,G3,G03-N-MM-01,N-3-12,長度,毫米,認識1毫米,2
G3,PREHIGH,G3,G03-N-MM-CONV-01,N-3-12,長度,毫米,公分毫米換算,2
G3,PREHIGH,G3,G03-N-MM-OPS-01,N-3-12,長度,毫米,長度計算,3
G3,PREHIGH,G3,G03-S-ANGLE-01,N-3-13 / S-3-1,角,角的概念,頂點與兩邊,2
G3,PREHIGH,G3,G03-S-RIGHT-01,N-3-13 / S-3-1,角,角的分類,直角,2
G3,PREHIGH,G3,G03-S-ACUTEOBTUSE-01,N-3-13 / S-3-1,角,角的分類,銳角與鈍角,3
G3,PREHIGH,G3,G03-S-RECT-01,S-3-2,幾何,正方形與長方形,邊角性質,2
G3,PREHIGH,G3,G03-S-PERIM-01,S-3-2,幾何,周長,長方形正方形周長,3
G3,PREHIGH,G3,G03-N-CM2-01,N-3-14,面積,平方公分,1平方公分,2
G3,PREHIGH,G3,G03-N-CM2-COUNT-01,N-3-14,面積,平方公分,方格鋪排計數,3
G3,PREHIGH,G3,G03-N-CM2-MUL-01,N-3-14,面積,平方公分,用乘法加速計數,3
G3,PREHIGH,G3,G03-S-AREA-CUT-01,N-3-14 / S-3-4,面積,切割拼湊,等積重組,4
G3,PREHIGH,G3,G03-N-L-01,N-3-15,容量,公升毫升,認識公升與毫升,2
G3,PREHIGH,G3,G03-N-L-CONV-01,N-3-15,容量,公升毫升,L與mL換算,2
G3,PREHIGH,G3,G03-N-L-OPS-01,N-3-15,容量,公升毫升,容量加減,3
G3,PREHIGH,G3,G03-N-KG-01,N-3-16,重量,公斤公克,認識公斤與公克,2
G3,PREHIGH,G3,G03-N-KG-CONV-01,N-3-16,重量,公斤公克,kg與g換算,2
G3,PREHIGH,G3,G03-N-KG-OPS-01,N-3-16,重量,公斤公克,重量加減,3
G3,PREHIGH,G3,G03-N-TIME24-01,N-3-17,時間,24時制,12/24時制轉換,2
G3,PREHIGH,G3,G03-N-TIMEUNIT-01,N-3-17,時間,時間單位,日-時-分-秒關係,2
G3,PREHIGH,G3,G03-N-TIMECALC-01,N-3-17,時間,時間計算,之前/之後時刻,3
G3,PREHIGH,G3,G03-N-ELAPSED-01,N-3-17,時間,時間計算,經過時間,4
G3,PREHIGH,G3,G03-S-CIRCLE-01,S-3-3,圓,圓的構造,圓心半徑直徑,2
G3,PREHIGH,G3,G03-S-COMPASS-01,S-3-3,圓,圓規,用圓規畫圓,2
G3,PREHIGH,G3,G03-S-OPERATE-01,S-3-4,幾何操作,切割拼湊,平面圖形重組,3
G3,PREHIGH,G3,G03-R-PATTERN-01,R-3-2,規律,數列規律,固定加減規律,3
G3,PREHIGH,G3,G03-R-PATTERN-02,R-3-2,規律,圖形顏色規律,週期與排列,3
G3,PREHIGH,G3,G03-R-PATTERN-03,R-3-2,規律,表格規律,用表格找關係,4
G3,PREHIGH,G3,G03-D-1WAY-01,D-3-1,資料,表格,一維表格,2
G3,PREHIGH,G3,G03-D-2WAY-01,D-3-1,資料,表格,二維表格,3
G3,PREHIGH,G3,G03-D-TABLE-APP-01,D-3-1,資料,表格,表格推理,3
G4,PREHIGH,G4,G04-N-100M-01,N-4-1,大數與位值,一億以內的數,大數讀寫,2
G4,PREHIGH,G4,G04-N-PLACE-01,N-4-1,大數與位值,一億以內的數,大數位值化聚,2
G4,PREHIGH,G4,G04-N-CMP-01,N-4-1,大數與位值,一億以內的數,大數比較排序,2
G4,PREHIGH,G4,G04-N-ADDSUB-01,N-4-1,大數與位值,一億以內的數,大數加減,3
G4,PREHIGH,G4,G04-N-MUL1-01,N-4-2,整數乘除,乘法,四位數乘一位數,2
G4,PREHIGH,G4,G04-N-MUL2-01,N-4-2,整數乘除,乘法,一二位數乘二位數,3
G4,PREHIGH,G4,G04-N-MUL4X2-01,N-4-2,整數乘除,乘法,三四位數乘二位數,4
G4,PREHIGH,G4,G04-N-DIV4X1-01,N-4-2,整數乘除,除法,四位數除一位數,3
G4,PREHIGH,G4,G04-N-DIV2X2-01,N-4-2,整數乘除,除法,二位數除二位數,3
G4,PREHIGH,G4,G04-N-DIV4X2-01,N-4-2,整數乘除,除法,三四位數除二位數,4
G4,PREHIGH,G4,G04-N-MULDIV-APP-01,N-4-2 / N-4-3,整數乘除,應用,多位數乘除文字題,4
G4,PREHIGH,G4,G04-N-2STEP-MULADD-01,N-4-3 / R-4-1,兩步驟與併式,應用,乘加/乘減兩步驟,4
G4,PREHIGH,G4,G04-N-2STEP-DIV-01,N-4-3 / R-4-1,兩步驟與併式,應用,除加/除減/乘除兩步驟,4
G4,PREHIGH,G4,G04-R-ORDER-01,R-4-1 / R-4-2,四則運算,運算順序,由左而右與先乘除後加減,3
G4,PREHIGH,G4,G04-R-BRACKET-01,R-4-1 / R-4-2,四則運算,括號,括號與併式,4
G4,PREHIGH,G4,G04-R-LAWS-01,R-4-2,四則運算,運算規律,交換律與結合律初步,4
G4,PREHIGH,G4,G04-N-ROUND-01,N-4-4,概數,四捨五入,取到萬/千/百位概數,2
G4,PREHIGH,G4,G04-N-EST-01,N-4-4,概數,估算,用概數估算四則結果,3
G4,PREHIGH,G4,G04-N-FRAC-TYPES-01,N-4-5,分數,分數類型,真分數假分數帶分數,2
G4,PREHIGH,G4,G04-N-FRAC-CONV-01,N-4-5,分數,分數類型,假分數帶分數互換,3
G4,PREHIGH,G4,G04-N-FRAC-CMP-01,N-4-5,分數,同分母分數,分數大小比較,3
G4,PREHIGH,G4,G04-N-FRAC-ADD-01,N-4-5,分數,同分母分數,同分母加法,3
G4,PREHIGH,G4,G04-N-FRAC-SUB-01,N-4-5,分數,同分母分數,同分母減法,4
G4,PREHIGH,G4,G04-N-FRAC-EQV-01,N-4-6,分數,等值分數,由圖像建立等值分數,3
G4,PREHIGH,G4,G04-N-FRAC-DEC-01,N-4-6 / N-4-7,分數小數連結,分數與小數,十分之一百分之一與小數,3
G4,PREHIGH,G4,G04-N-DEC2-01,N-4-7,小數,二位小數,百分位與二位小數,2
G4,PREHIGH,G4,G04-N-DEC2-CMP-01,N-4-7,小數,二位小數,小數大小比較,2
G4,PREHIGH,G4,G04-N-DEC2-ADD-01,N-4-7,小數,二位小數,二位小數加法,3
G4,PREHIGH,G4,G04-N-DEC2-SUB-01,N-4-7,小數,二位小數,二位小數減法,3
G4,PREHIGH,G4,G04-N-DECMULINT-01,N-4-7,小數,小數乘法初步,一二位小數乘整數,4
G4,PREHIGH,G4,G04-N-NUMBERLINE-01,N-4-8,數線,分數小數數線,分數定位,3
G4,PREHIGH,G4,G04-N-NUMBERLINE-02,N-4-8,數線,分數小數數線,小數定位,3
G4,PREHIGH,G4,G04-N-KM-01,N-4-9,長度,公里,認識公里,2
G4,PREHIGH,G4,G04-N-KM-CONV-01,N-4-9,長度,公里,公里公尺換算,3
G4,PREHIGH,G4,G04-N-KM-APP-01,N-4-9,長度,公里,距離應用,3
G4,PREHIGH,G4,G04-S-DEGREE-01,N-4-10 / S-4-1,角度,度量角,認識1度與量角器,2
G4,PREHIGH,G4,G04-S-MEASURE-01,N-4-10 / S-4-1,角度,度量角,量角與畫角,3
G4,PREHIGH,G4,G04-S-ANGLECALC-01,N-4-10 / S-4-1,角度,角度計算,角的合成與分解,4
G4,PREHIGH,G4,G04-S-ROTATE-01,S-4-2,角度,旋轉角,順逆時針與周角,3
G4,PREHIGH,G4,G04-S-PERP-01,S-4-5,幾何關係,垂直平行,垂直線,3
G4,PREHIGH,G4,G04-S-PARALLEL-01,S-4-5,幾何關係,垂直平行,平行線,3
G4,PREHIGH,G4,G04-S-CONGRUENT-01,S-4-6,全等,平面圖形,全等圖形,3
G4,PREHIGH,G4,G04-S-CONGRUENT-MAP-01,S-4-6,全等,平面圖形,對應邊與對應角,3
G4,PREHIGH,G4,G04-S-TRI-CLASS-01,S-4-7,三角形,分類,依邊分類三角形,2
G4,PREHIGH,G4,G04-S-TRI-ANGLE-01,S-4-7,三角形,分類,依角分類三角形,3
G4,PREHIGH,G4,G04-S-QUAD-01,S-4-8,四邊形,分類,常見四邊形,3
G4,PREHIGH,G4,G04-S-QUAD-REL-01,S-4-8 / S-4-5,四邊形,分類關係,四邊形包含關係,4
G4,PREHIGH,G4,G04-N-M2-01,N-4-11 / S-4-3,面積,平方公尺,認識平方公尺,2
G4,PREHIGH,G4,G04-S-RECTAREA-01,N-4-11 / S-4-3 / R-4-3,面積,長方形正方形,長方形面積,3
G4,PREHIGH,G4,G04-S-SQUAREAREA-01,N-4-11 / S-4-3 / R-4-3,面積,長方形正方形,正方形面積,3
G4,PREHIGH,G4,G04-S-PERIM-01,S-4-3 / R-4-3,周長,長方形正方形,周長公式,3
G4,PREHIGH,G4,G04-S-AREA-REVERSE-01,S-4-3 / R-4-3,面積周長,反求,由面積或周長反求邊長,4
G4,PREHIGH,G4,G04-S-COMPOSITE-AREA-01,S-4-3,面積,複合圖形,切割與補形,4
G4,PREHIGH,G4,G04-N-CM3-01,N-4-12 / S-4-4,體積,立方公分,認識1立方公分,2
G4,PREHIGH,G4,G04-N-CM3-COUNT-01,N-4-12 / S-4-4,體積,立方公分,堆疊計數,3
G4,PREHIGH,G4,G04-N-CM3-HIDDEN-01,N-4-12 / S-4-4,體積,立方公分,看不見的立方體,4
G4,PREHIGH,G4,G04-N-TIMEADD-01,N-4-13,時間,時間計算,複名數時間加法,3
G4,PREHIGH,G4,G04-N-TIMESUB-01,N-4-13,時間,時間計算,複名數時間減法,4
G4,PREHIGH,G4,G04-N-TIMEAPP-01,N-4-13,時間,時間計算,時刻與經過時間,4
G4,PREHIGH,G4,G04-R-PATTERN-01,R-4-4,規律,數量模式,數列與圖形規律,3
G4,PREHIGH,G4,G04-R-PERIOD-01,R-4-4,規律,週期,週期位置判斷,4
G4,PREHIGH,G4,G04-R-TABLE-01,R-4-4,規律,兩量關係,表格找規律,4
G4,PREHIGH,G4,G04-D-BAR-01,D-4-1,資料,長條圖,報讀長條圖,2
G4,PREHIGH,G4,G04-D-BAR-DRAW-01,D-4-1,資料,長條圖,製作長條圖,3
G4,PREHIGH,G4,G04-D-LINE-READ-01,D-4-1,資料,折線圖,報讀折線圖,3
G4,PREHIGH,G4,G04-D-LINE-DRAW-01,D-4-1,資料,折線圖,製作折線圖,3
G4,PREHIGH,G4,G04-D-CHART-CHOICE-01,D-4-1,資料,統計圖選擇,選擇長條或折線圖,4
G5,PREHIGH,G5,G05-N-DEC-PLACE-01,N-5-1,數與位值,大數與多位小數,大數讀寫與位值,1
G5,PREHIGH,G5,G05-N-DEC-PLACE-02,N-5-1,數與位值,大數與多位小數,位值單位化聚,2
G5,PREHIGH,G5,G05-N-DEC-CMP-01,N-5-1,數與位值,大數與多位小數,多位小數比較,2
G5,PREHIGH,G5,G05-N-DEC-ROUND-01,N-5-11,數與位值,概數與估算,小數取概數,2
G5,PREHIGH,G5,G05-N-FACTOR-01,N-5-3,因數與倍數,因數與公因數,整除與因數,2
G5,PREHIGH,G5,G05-N-GCF-01,N-5-3,因數與倍數,因數與公因數,公因數與最大公因數,3
G5,PREHIGH,G5,G05-N-MULTIPLE-01,N-5-3,因數與倍數,倍數與公倍數,倍數與判別,2
G5,PREHIGH,G5,G05-N-LCM-01,N-5-3,因數與倍數,倍數與公倍數,公倍數與最小公倍數,3
G5,PREHIGH,G5,G05-N-FRAC-EQV-01,N-5-4,分數,等值分數,擴分與約分,2
G5,PREHIGH,G5,G05-N-FRAC-COMMON-01,N-5-4,分數,等值分數,通分與大小比較,3
G5,PREHIGH,G5,G05-N-FRAC-ADD-01,N-5-4,分數,異分母分數加減,異分母分數加法,3
G5,PREHIGH,G5,G05-N-FRAC-SUB-01,N-5-4,分數,異分母分數加減,異分母分數減法,3
G5,PREHIGH,G5,G05-N-FRAC-DIVREP-01,N-5-6,分數,分數與除法,整數相除分數表示,2
G5,PREHIGH,G5,G05-N-FRAC-MUL-01,N-5-5,分數,分數乘法,整數乘分數,3
G5,PREHIGH,G5,G05-N-FRAC-MUL-02,N-5-5,分數,分數乘法,分數乘分數,4
G5,PREHIGH,G5,G05-N-FRAC-DIVINT-01,N-5-7,分數,分數除法初步,分數除以整數,3
G5,PREHIGH,G5,G05-N-DEC-MUL-01,N-5-8,小數運算,小數乘法,小數乘整數,2
G5,PREHIGH,G5,G05-N-DEC-MUL-02,N-5-8,小數運算,小數乘法,小數乘小數,4
G5,PREHIGH,G5,G05-N-DEC-DIV-01,N-5-9,小數運算,整數與小數除法,整數除以整數商為小數,3
G5,PREHIGH,G5,G05-N-DEC-DIV-02,N-5-9,小數運算,整數與小數除法,小數除以整數,3
G5,PREHIGH,G5,G05-N-RATE-01,N-5-10,比率與百分率,比率,部分量與全體量,3
G5,PREHIGH,G5,G05-N-PERCENT-01,N-5-10,比率與百分率,百分率,分數小數百分率互換,3
G5,PREHIGH,G5,G05-N-TIME-01,N-5-16,時間量,時間乘除,時間乘法,3
G5,PREHIGH,G5,G05-N-TIME-02,N-5-16,時間量,時間乘除,時間除法,4
G5,PREHIGH,G5,G05-S-POLY-01,S-5-1,幾何性質,多邊形,三角形邊長關係,3
