grade,track,skill_id,official_code,skill_name
G1,GENERAL_OR_PREHIGH,G01-N-LEN-02,N-1-5 / S-1-1,間接比較
G1,GENERAL_OR_PREHIGH,G01-N-LEN-03,N-1-5 / S-1-1,個別單位測量
G1,GENERAL_OR_PREHIGH,G01-N-TIME-01,N-1-6,事件先後與時間長短
G1,GENERAL_OR_PREHIGH,G01-N-CLOCK-01,N-1-6,整點
G1,GENERAL_OR_PREHIGH,G01-N-CLOCK-02,N-1-6,半點
G1,GENERAL_OR_PREHIGH,G01-N-DATE-01,N-1-6,月日星期
G1,GENERAL_OR_PREHIGH,G01-S-SOLID-01,S-1-2,平面與曲面特徵
G1,GENERAL_OR_PREHIGH,G01-S-SHAPE-01,S-1-2,常見平面形狀辨識
G1,GENERAL_OR_PREHIGH,G01-S-TRACE-01,S-1-2,描繪與複製
G1,GENERAL_OR_PREHIGH,G01-S-PUZZLE-01,S-1-2,拼貼與堆疊
G1,GENERAL_OR_PREHIGH,G01-S-MOVE-01,S-1-2,平移旋轉翻轉初步
G1,GENERAL_OR_PREHIGH,G01-D-CLASS-01,D-1-1,依單一特徵分類
G1,GENERAL_OR_PREHIGH,G01-D-CLASS-02,D-1-1,多種分類方式
G1,GENERAL_OR_PREHIGH,G01-D-RECORD-01,D-1-1,簡單記錄與報讀
G2,GENERAL_OR_PREHIGH,G02-N-200-01,N-2-1,讀寫與做數
G2,GENERAL_OR_PREHIGH,G02-N-1000-01,N-2-1,讀寫與做數
G2,GENERAL_OR_PREHIGH,G02-N-PLACE-01,N-2-1,百位十位個位
G2,GENERAL_OR_PREHIGH,G02-N-ORDER-01,N-2-1,前後數與大小
G2,GENERAL_OR_PREHIGH,G02-N-COIN-01,N-2-5,100/500/1000元
G2,GENERAL_OR_PREHIGH,G02-N-COIN-APP-01,N-2-5,付款與找錢
G2,GENERAL_OR_PREHIGH,G02-N-ADD-VERT-01,N-2-2,不進位加法
G2,GENERAL_OR_PREHIGH,G02-N-ADD-CARRY1-01,N-2-2,一次進位
G2,GENERAL_OR_PREHIGH,G02-N-ADD-CARRY2-01,N-2-2,二次進位
G2,GENERAL_OR_PREHIGH,G02-N-SUB-VERT-01,N-2-2,不退位減法
G2,GENERAL_OR_PREHIGH,G02-N-SUB-BORROW-01,N-2-2,一次退位
G2,GENERAL_OR_PREHIGH,G02-N-ZERO-OPS-01,N-2-2,數字含0的加減
G2,GENERAL_OR_PREHIGH,G02-R-INVERSE-01,R-2-4,用加法驗減法
G2,GENERAL_OR_PREHIGH,G02-N-UNK-ADDEND-01,N-2-3 / R-2-4,未知加數/被加數
G2,GENERAL_OR_PREHIGH,G02-N-UNK-SUB-01,N-2-3 / R-2-4,未知減數/被減數
G2,GENERAL_OR_PREHIGH,G02-N-EST-01,N-2-4,簡單合理估算
G2,GENERAL_OR_PREHIGH,G02-N-TWOSTEP-ADD-01,N-2-8,兩步驟加法
G2,GENERAL_OR_PREHIGH,G02-N-TWOSTEP-SUB-01,N-2-8,兩步驟減法
G2,GENERAL_OR_PREHIGH,G02-N-TWOSTEP-MIX-01,N-2-8,先加後減/先減後加
G2,GENERAL_OR_PREHIGH,G02-R-ADDORDER-01,R-2-2,改變相加順序
G2,GENERAL_OR_PREHIGH,G02-N-MUL-MEAN-01,N-2-6,幾個一樣多
G2,GENERAL_OR_PREHIGH,G02-N-MUL-2-01,N-2-6,2和5的乘法
G2,GENERAL_OR_PREHIGH,G02-N-MUL-4-8-01,N-2-6,4和8的乘法
G2,GENERAL_OR_PREHIGH,G02-N-MUL-3-6-01,N-2-6,3和6的乘法
G2,GENERAL_OR_PREHIGH,G02-N-MUL-7-9-01,N-2-6,7和9的乘法
G2,GENERAL_OR_PREHIGH,G02-N-MUL-0-1-10-01,N-2-6 / N-2-7,0、1、10的乘法
G2,GENERAL_OR_PREHIGH,G02-N-MUL-TABLE-01,N-2-7,1到10乘法熟練
G2,GENERAL_OR_PREHIGH,G02-R-MULCOMM-01,R-2-3,交換乘數與被乘數
G2,GENERAL_OR_PREHIGH,G02-N-MULADD-01,N-2-8,先乘後加
G2,GENERAL_OR_PREHIGH,G02-N-MULSUB-01,N-2-8,先乘後減
G2,GENERAL_OR_PREHIGH,G02-N-SHARE-01,N-2-9,平均分
G2,GENERAL_OR_PREHIGH,G02-N-GROUP-01,N-2-9,每份固定量
G2,GENERAL_OR_PREHIGH,G02-N-SHARE-REL-01,N-2-9 / N-2-6,用乘法檢查分裝平分
G2,GENERAL_OR_PREHIGH,G02-N-FRAC-UNIT-01,N-2-10,二分之一與四分之一
G2,GENERAL_OR_PREHIGH,G02-N-FRAC-UNIT-02,N-2-10,幾分之一
G2,GENERAL_OR_PREHIGH,G02-N-FRAC-CMP-01,N-2-10,單位分數大小初步
G2,GENERAL_OR_PREHIGH,G02-N-CM-01,N-2-11 / S-2-3,認識1公分
G2,GENERAL_OR_PREHIGH,G02-N-METER-01,N-2-11,認識1公尺
G2,GENERAL_OR_PREHIGH,G02-N-RULER-01,N-2-11 / S-2-3,用尺測量與畫線
G2,GENERAL_OR_PREHIGH,G02-N-LENOPS-01,N-2-11,同單位長度運算
G2,GENERAL_OR_PREHIGH,G02-S-PERIM-01,S-2-4,圖形邊長總和
G2,GENERAL_OR_PREHIGH,G02-N-CAP-01,N-2-12,直接/間接比較容量
G2,GENERAL_OR_PREHIGH,G02-N-WEIGHT-01,N-2-12,直接/間接比較重量
G2,GENERAL_OR_PREHIGH,G02-S-AREA-01,N-2-12 / S-2-5,面的直接比較
G2,GENERAL_OR_PREHIGH,G02-S-AREA-02,N-2-12 / S-2-5,間接與個別單位比較
G2,GENERAL_OR_PREHIGH,G02-N-CLOCK-01,N-2-13,幾時幾分
G2,GENERAL_OR_PREHIGH,G02-N-CLOCK-02,N-2-13,前後時刻比較
G2,GENERAL_OR_PREHIGH,G02-N-CALENDAR-01,N-2-14,年、月、日、星期
G2,GENERAL_OR_PREHIGH,G02-N-CALENDAR-02,N-2-14,月份天數與順序
G2,GENERAL_OR_PREHIGH,G02-S-FEATURE-01,S-2-1 / S-2-2,邊角頂點
G2,GENERAL_OR_PREHIGH,G02-S-TRIQUAD-01,S-2-2,三角形與四邊形
G2,GENERAL_OR_PREHIGH,G02-S-SPECIAL-01,S-2-2,正方形長方形正三角形
G2,GENERAL_OR_PREHIGH,G02-S-INOUT-01,S-2-4,周界內部外部
G2,GENERAL_OR_PREHIGH,G02-S-SOLID-01,S-2-2,常見立體分類
G2,GENERAL_OR_PREHIGH,G02-R-TRANSITIVE-01,R-2-1,大小遞移
G2,GENERAL_OR_PREHIGH,G02-D-TABLE-01,D-2-1,分類紀錄
G2,GENERAL_OR_PREHIGH,G02-D-READ-01,D-2-1,報讀分類結果
G3,GENERAL_OR_PREHIGH,G03-N-10000-01,N-3-1,萬以內讀寫做
G3,GENERAL_OR_PREHIGH,G03-N-PLACE-01,N-3-1,千百十個位值
G3,GENERAL_OR_PREHIGH,G03-N-ORDER-01,N-3-1,萬以內排序比較
G3,GENERAL_OR_PREHIGH,G03-N-MONEY-01,N-3-1,大數與錢幣換算
G3,GENERAL_OR_PREHIGH,G03-N-NUMAPP-01,N-3-1,萬以內生活量
G3,GENERAL_OR_PREHIGH,G03-N-ADD4-01,N-3-2,直式與進位
G3,GENERAL_OR_PREHIGH,G03-N-SUB4-01,N-3-2,直式與退位
G3,GENERAL_OR_PREHIGH,G03-N-ADDSUB-APP-01,N-3-2,加減文字題
G3,GENERAL_OR_PREHIGH,G03-N-ADDSUB-UNK-01,N-3-2,四位數加減缺項
G3,GENERAL_OR_PREHIGH,G03-N-MUL2X1-01,N-3-3,二位數乘一位數
G3,GENERAL_OR_PREHIGH,G03-N-MUL3X1-01,N-3-3,三位數乘一位數
G3,GENERAL_OR_PREHIGH,G03-N-MUL-EST-01,N-3-3 / N-3-8,估算乘積
G3,GENERAL_OR_PREHIGH,G03-N-MUL-APP-01,N-3-6,倍數與總量
G3,GENERAL_OR_PREHIGH,G03-N-DIV-MEAN-01,N-3-4,分裝與平分
G3,GENERAL_OR_PREHIGH,G03-N-DIV-REM-01,N-3-4,有餘數除法
G3,GENERAL_OR_PREHIGH,G03-N-DIV2X1-01,N-3-5,二位數除一位數
G3,GENERAL_OR_PREHIGH,G03-N-DIV3X1-01,N-3-5,三位數除一位數
G3,GENERAL_OR_PREHIGH,G03-N-DIV-ZERO-01,N-3-5,商中含0
G3,GENERAL_OR_PREHIGH,G03-R-MULDIV-INV-01,R-3-1,乘除互逆
G3,GENERAL_OR_PREHIGH,G03-N-DIV-APP-01,N-3-6,每份量與份數
G3,GENERAL_OR_PREHIGH,G03-N-2STEP-01,N-3-7,先乘再加減
G3,GENERAL_OR_PREHIGH,G03-N-2STEP-02,N-3-7,先除再加減
G3,GENERAL_OR_PREHIGH,G03-N-2STEP-03,N-3-7,倍數與分組兩步驟
G3,GENERAL_OR_PREHIGH,G03-N-EST-4OPS-01,N-3-8,合理估算策略
G3,GENERAL_OR_PREHIGH,G03-N-FRAC-BASIC-01,N-3-9,幾分之幾
G3,GENERAL_OR_PREHIGH,G03-N-FRAC-ONE-01,N-3-9,分子等於分母
G3,GENERAL_OR_PREHIGH,G03-N-FRAC-CMP-01,N-3-9,同分母大小比較
G3,GENERAL_OR_PREHIGH,G03-N-FRAC-ADD-01,N-3-9,同分母分數加法
G3,GENERAL_OR_PREHIGH,G03-N-FRAC-SUB-01,N-3-9,同分母分數減法
G3,GENERAL_OR_PREHIGH,G03-N-FRAC-NUMBERLINE-01,N-3-9 / N-3-11,分數在數線上的位置
G3,GENERAL_OR_PREHIGH,G03-N-DEC-01,N-3-10,0.1與十分位
G3,GENERAL_OR_PREHIGH,G03-N-DEC-PLACE-01,N-3-10,十分位位值
G3,GENERAL_OR_PREHIGH,G03-N-DEC-CMP-01,N-3-10,大小比較
G3,GENERAL_OR_PREHIGH,G03-N-DEC-ADD-01,N-3-10,小數加法
G3,GENERAL_OR_PREHIGH,G03-N-DEC-SUB-01,N-3-10,小數減法
G3,GENERAL_OR_PREHIGH,G03-N-DEC-NUMBERLINE-01,N-3-10 / N-3-11,一位小數數線
G3,GENERAL_OR_PREHIGH,G03-N-NUMBERLINE-01,N-3-11,定位與大小
G3,GENERAL_OR_PREHIGH,G03-N-MM-01,N-3-12,認識1毫米
G3,GENERAL_OR_PREHIGH,G03-N-MM-CONV-01,N-3-12,公分毫米換算
G3,GENERAL_OR_PREHIGH,G03-N-MM-OPS-01,N-3-12,長度計算
G3,GENERAL_OR_PREHIGH,G03-S-ANGLE-01,N-3-13 / S-3-1,頂點與兩邊
G3,GENERAL_OR_PREHIGH,G03-S-RIGHT-01,N-3-13 / S-3-1,直角
G3,GENERAL_OR_PREHIGH,G03-S-ACUTEOBTUSE-01,N-3-13 / S-3-1,銳角與鈍角
G3,GENERAL_OR_PREHIGH,G03-S-RECT-01,S-3-2,邊角性質
G3,GENERAL_OR_PREHIGH,G03-S-PERIM-01,S-3-2,長方形正方形周長
G3,GENERAL_OR_PREHIGH,G03-N-CM2-01,N-3-14,1平方公分
G3,GENERAL_OR_PREHIGH,G03-N-CM2-COUNT-01,N-3-14,方格鋪排計數
G3,GENERAL_OR_PREHIGH,G03-N-CM2-MUL-01,N-3-14,用乘法加速計數
G3,GENERAL_OR_PREHIGH,G03-S-AREA-CUT-01,N-3-14 / S-3-4,等積重組
G3,GENERAL_OR_PREHIGH,G03-N-L-01,N-3-15,認識公升與毫升
G3,GENERAL_OR_PREHIGH,G03-N-L-CONV-01,N-3-15,L與mL換算
G3,GENERAL_OR_PREHIGH,G03-N-L-OPS-01,N-3-15,容量加減
G3,GENERAL_OR_PREHIGH,G03-N-KG-01,N-3-16,認識公斤與公克
G3,GENERAL_OR_PREHIGH,G03-N-KG-CONV-01,N-3-16,kg與g換算
G3,GENERAL_OR_PREHIGH,G03-N-KG-OPS-01,N-3-16,重量加減
G3,GENERAL_OR_PREHIGH,G03-N-TIME24-01,N-3-17,12/24時制轉換
G3,GENERAL_OR_PREHIGH,G03-N-TIMEUNIT-01,N-3-17,日-時-分-秒關係
G3,GENERAL_OR_PREHIGH,G03-N-TIMECALC-01,N-3-17,之前/之後時刻
G3,GENERAL_OR_PREHIGH,G03-N-ELAPSED-01,N-3-17,經過時間
G3,GENERAL_OR_PREHIGH,G03-S-CIRCLE-01,S-3-3,圓心半徑直徑
G3,GENERAL_OR_PREHIGH,G03-S-COMPASS-01,S-3-3,用圓規畫圓
G3,GENERAL_OR_PREHIGH,G03-S-OPERATE-01,S-3-4,平面圖形重組
G3,GENERAL_OR_PREHIGH,G03-R-PATTERN-01,R-3-2,固定加減規律
G3,GENERAL_OR_PREHIGH,G03-R-PATTERN-02,R-3-2,週期與排列
G3,GENERAL_OR_PREHIGH,G03-R-PATTERN-03,R-3-2,用表格找關係
G3,GENERAL_OR_PREHIGH,G03-D-1WAY-01,D-3-1,一維表格
G3,GENERAL_OR_PREHIGH,G03-D-2WAY-01,D-3-1,二維表格
G3,GENERAL_OR_PREHIGH,G03-D-TABLE-APP-01,D-3-1,表格推理
G4,GENERAL_OR_PREHIGH,G04-N-100M-01,N-4-1,大數讀寫
G4,GENERAL_OR_PREHIGH,G04-N-PLACE-01,N-4-1,大數位值化聚
G4,GENERAL_OR_PREHIGH,G04-N-CMP-01,N-4-1,大數比較排序
G4,GENERAL_OR_PREHIGH,G04-N-ADDSUB-01,N-4-1,大數加減
G4,GENERAL_OR_PREHIGH,G04-N-MUL1-01,N-4-2,四位數乘一位數
G4,GENERAL_OR_PREHIGH,G04-N-MUL2-01,N-4-2,一二位數乘二位數
G4,GENERAL_OR_PREHIGH,G04-N-MUL4X2-01,N-4-2,三四位數乘二位數
G4,GENERAL_OR_PREHIGH,G04-N-DIV4X1-01,N-4-2,四位數除一位數
G4,GENERAL_OR_PREHIGH,G04-N-DIV2X2-01,N-4-2,二位數除二位數
G4,GENERAL_OR_PREHIGH,G04-N-DIV4X2-01,N-4-2,三四位數除二位數
G4,GENERAL_OR_PREHIGH,G04-N-MULDIV-APP-01,N-4-2 / N-4-3,多位數乘除文字題
G4,GENERAL_OR_PREHIGH,G04-N-2STEP-MULADD-01,N-4-3 / R-4-1,乘加/乘減兩步驟
G4,GENERAL_OR_PREHIGH,G04-N-2STEP-DIV-01,N-4-3 / R-4-1,除加/除減/乘除兩步驟
G4,GENERAL_OR_PREHIGH,G04-R-ORDER-01,R-4-1 / R-4-2,由左而右與先乘除後加減
G4,GENERAL_OR_PREHIGH,G04-R-BRACKET-01,R-4-1 / R-4-2,括號與併式
G4,GENERAL_OR_PREHIGH,G04-R-LAWS-01,R-4-2,交換律與結合律初步
G4,GENERAL_OR_PREHIGH,G04-N-ROUND-01,N-4-4,取到萬/千/百位概數
G4,GENERAL_OR_PREHIGH,G04-N-EST-01,N-4-4,用概數估算四則結果
G4,GENERAL_OR_PREHIGH,G04-N-FRAC-TYPES-01,N-4-5,真分數假分數帶分數
G4,GENERAL_OR_PREHIGH,G04-N-FRAC-CONV-01,N-4-5,假分數帶分數互換
G4,GENERAL_OR_PREHIGH,G04-N-FRAC-CMP-01,N-4-5,大小比較
G4,GENERAL_OR_PREHIGH,G04-N-FRAC-ADD-01,N-4-5,同分母加法
G4,GENERAL_OR_PREHIGH,G04-N-FRAC-SUB-01,N-4-5,同分母減法
G4,GENERAL_OR_PREHIGH,G04-N-FRAC-EQV-01,N-4-6,由圖像建立等值分數
G4,GENERAL_OR_PREHIGH,G04-N-FRAC-DEC-01,N-4-6 / N-4-7,十分之一百分之一與小數
G4,GENERAL_OR_PREHIGH,G04-N-DEC2-01,N-4-7,百分位與二位小數
G4,GENERAL_OR_PREHIGH,G04-N-DEC2-CMP-01,N-4-7,大小比較
G4,GENERAL_OR_PREHIGH,G04-N-DEC2-ADD-01,N-4-7,二位小數加法
G4,GENERAL_OR_PREHIGH,G04-N-DEC2-SUB-01,N-4-7,二位小數減法
G4,GENERAL_OR_PREHIGH,G04-N-DECMULINT-01,N-4-7,一二位小數乘整數
G4,GENERAL_OR_PREHIGH,G04-N-NUMBERLINE-01,N-4-8,分數定位
G4,GENERAL_OR_PREHIGH,G04-N-NUMBERLINE-02,N-4-8,小數定位
G4,GENERAL_OR_PREHIGH,G04-N-KM-01,N-4-9,認識公里
G4,GENERAL_OR_PREHIGH,G04-N-KM-CONV-01,N-4-9,公里公尺換算
G4,GENERAL_OR_PREHIGH,G04-N-KM-APP-01,N-4-9,距離應用
G4,GENERAL_OR_PREHIGH,G04-S-DEGREE-01,N-4-10 / S-4-1,認識1度與量角器
G4,GENERAL_OR_PREHIGH,G04-S-MEASURE-01,N-4-10 / S-4-1,量角與畫角
G4,GENERAL_OR_PREHIGH,G04-S-ANGLECALC-01,N-4-10 / S-4-1,角的合成與分解
G4,GENERAL_OR_PREHIGH,G04-S-ROTATE-01,S-4-2,順逆時針與周角
G4,GENERAL_OR_PREHIGH,G04-S-PERP-01,S-4-5,垂直線
G4,GENERAL_OR_PREHIGH,G04-S-PARALLEL-01,S-4-5,平行線
G4,GENERAL_OR_PREHIGH,G04-S-CONGRUENT-01,S-4-6,全等圖形
G4,GENERAL_OR_PREHIGH,G04-S-CONGRUENT-MAP-01,S-4-6,對應邊與對應角
G4,GENERAL_OR_PREHIGH,G04-S-TRI-CLASS-01,S-4-7,依邊分類三角形
G4,GENERAL_OR_PREHIGH,G04-S-TRI-ANGLE-01,S-4-7,依角分類三角形
G4,GENERAL_OR_PREHIGH,G04-S-QUAD-01,S-4-8,常見四邊形
G4,GENERAL_OR_PREHIGH,G04-S-QUAD-REL-01,S-4-8 / S-4-5,四邊形包含關係
G4,GENERAL_OR_PREHIGH,G04-N-M2-01,N-4-11 / S-4-3,認識平方公尺
G4,GENERAL_OR_PREHIGH,G04-S-RECTAREA-01,N-4-11 / S-4-3 / R-4-3,長方形面積
G4,GENERAL_OR_PREHIGH,G04-S-SQUAREAREA-01,N-4-11 / S-4-3 / R-4-3,正方形面積
G4,GENERAL_OR_PREHIGH,G04-S-PERIM-01,S-4-3 / R-4-3,周長公式
G4,GENERAL_OR_PREHIGH,G04-S-AREA-REVERSE-01,S-4-3 / R-4-3,由面積或周長反求邊長
G4,GENERAL_OR_PREHIGH,G04-S-COMPOSITE-AREA-01,S-4-3,切割與補形
G4,GENERAL_OR_PREHIGH,G04-N-CM3-01,N-4-12 / S-4-4,認識1立方公分
G4,GENERAL_OR_PREHIGH,G04-N-CM3-COUNT-01,N-4-12 / S-4-4,堆疊計數
G4,GENERAL_OR_PREHIGH,G04-N-CM3-HIDDEN-01,N-4-12 / S-4-4,看不見的立方體
G4,GENERAL_OR_PREHIGH,G04-N-TIMEADD-01,N-4-13,複名數時間加法
G4,GENERAL_OR_PREHIGH,G04-N-TIMESUB-01,N-4-13,複名數時間減法
G4,GENERAL_OR_PREHIGH,G04-N-TIMEAPP-01,N-4-13,時刻與經過時間
G4,GENERAL_OR_PREHIGH,G04-R-PATTERN-01,R-4-4,數列與圖形規律
G4,GENERAL_OR_PREHIGH,G04-R-PERIOD-01,R-4-4,週期位置判斷
G4,GENERAL_OR_PREHIGH,G04-R-TABLE-01,R-4-4,表格找規律
G4,GENERAL_OR_PREHIGH,G04-D-BAR-01,D-4-1,報讀長條圖
G4,GENERAL_OR_PREHIGH,G04-D-BAR-DRAW-01,D-4-1,製作長條圖
G4,GENERAL_OR_PREHIGH,G04-D-LINE-READ-01,D-4-1,報讀折線圖
G4,GENERAL_OR_PREHIGH,G04-D-LINE-DRAW-01,D-4-1,製作折線圖
G4,GENERAL_OR_PREHIGH,G04-D-CHART-CHOICE-01,D-4-1,選擇長條或折線圖
G5,GENERAL_OR_PREHIGH,G05-N-DEC-PLACE-01,N-5-1,大數讀寫與位值
G5,GENERAL_OR_PREHIGH,G05-N-DEC-PLACE-02,N-5-1,位值單位化聚
G5,GENERAL_OR_PREHIGH,G05-N-DEC-CMP-01,N-5-1,多位小數比較
G5,GENERAL_OR_PREHIGH,G05-N-DEC-ROUND-01,N-5-11,小數取概數
G5,GENERAL_OR_PREHIGH,G05-N-FACTOR-01,N-5-3,整除與因數
G5,GENERAL_OR_PREHIGH,G05-N-GCF-01,N-5-3,公因數與最大公因數
G5,GENERAL_OR_PREHIGH,G05-N-MULTIPLE-01,N-5-3,倍數與判別
G5,GENERAL_OR_PREHIGH,G05-N-LCM-01,N-5-3,公倍數與最小公倍數
G5,GENERAL_OR_PREHIGH,G05-N-FRAC-EQV-01,N-5-4,擴分與約分
G5,GENERAL_OR_PREHIGH,G05-N-FRAC-COMMON-01,N-5-4,通分與大小比較
G5,GENERAL_OR_PREHIGH,G05-N-FRAC-ADD-01,N-5-4,異分母分數加法
G5,GENERAL_OR_PREHIGH,G05-N-FRAC-SUB-01,N-5-4,異分母分數減法
G5,GENERAL_OR_PREHIGH,G05-N-FRAC-DIVREP-01,N-5-6,整數相除分數表示
G5,GENERAL_OR_PREHIGH,G05-N-FRAC-MUL-01,N-5-5,整數乘分數
G5,GENERAL_OR_PREHIGH,G05-N-FRAC-MUL-02,N-5-5,分數乘分數
G5,GENERAL_OR_PREHIGH,G05-N-FRAC-DIVINT-01,N-5-7,分數除以整數
G5,GENERAL_OR_PREHIGH,G05-N-DEC-MUL-01,N-5-8,小數乘整數
G5,GENERAL_OR_PREHIGH,G05-N-DEC-MUL-02,N-5-8,小數乘小數
G5,GENERAL_OR_PREHIGH,G05-N-DEC-DIV-01,N-5-9,整數除以整數商為小數
G5,GENERAL_OR_PREHIGH,G05-N-DEC-DIV-02,N-5-9,小數除以整數
G5,GENERAL_OR_PREHIGH,G05-N-RATE-01,N-5-10,部分量與全體量
G5,GENERAL_OR_PREHIGH,G05-N-PERCENT-01,N-5-10,分數小數百分率互換
G5,GENERAL_OR_PREHIGH,G05-N-TIME-01,N-5-16,時間乘法
G5,GENERAL_OR_PREHIGH,G05-N-TIME-02,N-5-16,時間除法
G5,GENERAL_OR_PREHIGH,G05-S-POLY-01,S-5-1,三角形邊長關係
G5,GENERAL_OR_PREHIGH,G05-S-ANGLE-01,S-5-1,三角形與四邊形內角
G5,GENERAL_OR_PREHIGH,G05-S-SECTOR-01,S-5-3,扇形與圓心角
G5,GENERAL_OR_PREHIGH,G05-S-SYM-01,S-5-4,線對稱性質
G5,GENERAL_OR_PREHIGH,G05-S-AREA-PARA-01,S-5-2,平行四邊形面積
G5,GENERAL_OR_PREHIGH,G05-S-AREA-TRI-01,S-5-2,三角形面積
G5,GENERAL_OR_PREHIGH,G05-S-AREA-TRAP-01,S-5-2,梯形面積
G5,GENERAL_OR_PREHIGH,G05-N-AREAUNIT-01,N-5-12,大面積單位換算
G5,GENERAL_OR_PREHIGH,G05-N-MASSUNIT-01,N-5-13,公噸與公斤
G5,GENERAL_OR_PREHIGH,G05-S-SOLID-01,S-5-7,立體形體分類
G5,GENERAL_OR_PREHIGH,G05-S-FACE-01,S-5-6,面與面的平行垂直
G5,GENERAL_OR_PREHIGH,G05-S-VOLUME-01,S-5-5,體積公式
G5,GENERAL_OR_PREHIGH,G05-N-VOLUNIT-01,N-5-14,立方公尺
G5,GENERAL_OR_PREHIGH,G05-S-SURFACE-01,S-5-5,表面積
G5,GENERAL_OR_PREHIGH,G05-N-CAPACITY-01,N-5-15,容積容量關係
G5,GENERAL_OR_PREHIGH,G05-N-DISPLACE-01,N-5-15,排水法求不規則體積
G5,GENERAL_OR_PREHIGH,G05-R-MULTISTEP-01,N-5-2 / R-5-1,三步驟併式
G5,GENERAL_OR_PREHIGH,G05-R-LAW-01,R-5-2,分配律與簡化計算
G5,GENERAL_OR_PREHIGH,G05-R-SYMBOL-01,R-5-3,用符號表示量
G5,GENERAL_OR_PREHIGH,G05-D-LINE-01,D-5-1,讀取折線圖
G5,GENERAL_OR_PREHIGH,G05-D-LINE-02,D-5-1,製作折線圖
G6,GENERAL_OR_PREHIGH,G06-N-PRIME-01,N-6-1,質數、合數與1
G6,GENERAL_OR_PREHIGH,G06-N-PRIME-02,N-6-1,質因數
G6,GENERAL_OR_PREHIGH,G06-N-PRIME-03,N-6-1,短除法質因數分解
G6,GENERAL_OR_PREHIGH,G06-N-COPRIME-01,N-6-2,互質
G6,GENERAL_OR_PREHIGH,G06-N-GCF-01,N-6-2,短除法求最大公因數
G6,GENERAL_OR_PREHIGH,G06-N-LCM-01,N-6-2,短除法求最小公倍數
G6,GENERAL_OR_PREHIGH,G06-N-GCFLCM-APP-01,N-6-2,分組與週期應用
G6,GENERAL_OR_PREHIGH,G06-N-FRAC-DIV-01,N-6-3,整數除以分數
G6,GENERAL_OR_PREHIGH,G06-N-FRAC-DIV-02,N-6-3,分數除以分數
G6,GENERAL_OR_PREHIGH,G06-N-FRAC-DIV-03,N-6-3,分數除法文字題
G6,GENERAL_OR_PREHIGH,G06-N-DEC-DIV-01,N-6-4,整數除以小數
